IDDIST;PROVINCIA;DISTRITO;antiguedad;nro_banios;nro_pisos;nro_cocheras;nro_dormitorios;estado_de_inmueble;precio_soles;latitud;longitud;area_constr_m2;area_total_m2
150132;Lima;SanJuanDeLurigancho;1;5;2;3;5+;Bueno;310000;-11.9762809;-76.99905641;170;204
150130;Lima;SanBorja;3;4;3;2;5+;Bueno;680000;-12.0784625;-76.999114;358;320
150140;Lima;SantiagoDeSurco;3;3;3;1;4;Bueno;380000;-12.1258828;-76.9991446;180;180
150130;Lima;SanBorja;3;4;2;2;4;A Remodelar;330000;-12.1073741;-76.9991472;122;122
150140;Lima;SantiagoDeSurco;4;3;2;2;4;Bueno;740000;-12.13195739;-76.99918272;300;351
150111;Lima;ElAgustino;3;5;3;0;4;;340000;-12.0474377;-76.9992404;290;290
150132;Lima;SanJuanDeLurigancho;1;3;2;1;5+;Excelente;120000;-11.96186915;-76.99936332;161;161
150140;Lima;SantiagoDeSurco;3;4;3;1;5+;Bueno;314000;-12.1666361;-76.9993896;280;110
150130;Lima;SanBorja;4;3;2;2;3;;650000;-12.09045648;-76.99943639;280;350
150130;Lima;SanBorja;3;5;3;4;5+;Excelente;900000;-12.1016255;-76.9995629;630;360
150130;Lima;SanBorja;3;4;3;1;5+;A Remodelar;535000;-12.1008494;-76.9996009;450;268
150130;Lima;SanBorja;3;4;2;2;4;Muy bueno;750000;-12.1034024;-76.9996066;345;309
150140;Lima;SantiagoDeSurco;2;5;3;2;3;Bueno;420000;-12.1433602;-76.9996287;300;150
150140;Lima;SantiagoDeSurco;4;5;3;3;5+;Regular;700000;-12.14111556;-76.99991388;398;421
150140;Lima;SantiagoDeSurco;3;5;3;3;5+;Muy bueno;379000;-12.1364076;-77.0001372;205;205
150140;Lima;SantiagoDeSurco;4;4;2;2;5+;Regular;337000;-12.13455135;-77.00027497;202;160
150132;Lima;SanJuanDeLurigancho;2;4;4;0;5+;Bueno;359000;-12.02586971;-77.00028927;448;448
150130;Lima;SanBorja;3;3;2;2;5+;Bueno;580000;-12.091624;-77.00032354;300;300
150132;Lima;SanJuanDeLurigancho;3;3;2;1;5+;Bueno;170000;-11.9867662;-77.0003862;140;160
150130;Lima;SanBorja;2;5;3;3;5+;Bueno;630000;-12.108014;-77.0004738;480;300
150130;Lima;SanBorja;3;5;2;4;5+;Muy bueno;700000;-12.0903711;-77.0005648;700;360
150132;Lima;SanJuanDeLurigancho;3;5;3;0;5+;Regular;175000;-11.96767389;-77.00062154;261;261
150140;Lima;SantiagoDeSurco;3;4;3;2;3;;430000;-12.1444218;-77.0006699;300;150
150130;Lima;SanBorja;2;5;3;2;4;Muy bueno;750000;-12.0912408;-77.0007012;400;300
150114;Lima;LaMolina;3;2;3;1;4;A Remodelar;330000;-12.1008832;-77.0008124;235;160
150140;Lima;SantiagoDeSurco;3;4;3;2;4;Muy bueno;375000;-12.1409845;-77.0008373;287;287
150140;Lima;SantiagoDeSurco;4;4;3;2;3;Muy bueno;580000;-12.130288;-77.0008841;250;324
150141;Lima;Surquillo;3;3;2;2;3;Bueno;450000;-12.11312593;-77.00089465;155;180
150130;Lima;SanBorja;3;3;2;2;4;A Remodelar;750000;-12.105213;-77.000921;405;405
150141;Lima;Surquillo;4;5;4;1;4;Remodelado;390000;-12.1188069;-77.00096252;300;460
150134;Lima;SanLuis;3;1;4;0;2;Bueno;160000;-12.07585639;-77.00100631;140;80
150140;Lima;SantiagoDeSurco;3;4;2;2;4;;580000;-12.1323757;-77.0010266;170;299
150122;Lima;Miraflores;4;4;3;2;4;;690000;-12.128869;-77.001071;250;250
150141;Lima;Surquillo;3;2;2;2;5+;Bueno;310000;-12.128869;-77.001071;250;160
150130;Lima;SanBorja;4;5;3;4;5+;Remodelado;740000;-12.0912567;-77.0011417;440;300
150132;Lima;SanJuanDeLurigancho;3;3;3;0;3;Muy bueno;207000;-12.023458;-77.0013652;220;152
150108;Lima;Chorrillos;2;5;2;4;5+;Muy bueno;850000;-12.2086633;-77.0013715;351;1270
150108;Lima;Chorrillos;1;5;2;0;4;Excelente;950000;-12.21098535;-77.00157822;500;895
150111;Lima;ElAgustino;3;2;2;0;5+;Bueno;125000;-12.05182977;-77.00168797;160;160
150130;Lima;SanBorja;3;5;1;1;2;;315000;-12.1009217;-77.0017065;120;120
150130;Lima;SanBorja;4;5;3;2;5+;;590000;-12.0913368;-77.0017613;300;300
150130;Lima;SanBorja;4;3;2;3;4;Remodelado;650000;-12.1004168;-77.0018044;270;356
150130;Lima;SanBorja;3;3;2;2;5+;Muy bueno;550000;-12.1004168;-77.0018044;254;300
